artist_name,genre,LQS_mean,n
cocteau twins,rock,0.25,1
leroy hutson,jazz,0.25,1
the tokens,pop,0.25,1
del the funky homosapien,hip hop,0.2175936947266261,1
the trashmen,rock,0.21470200022061667,1
pat metheny group,jazz,0.2077175776163737,3
jonah jones,pop,0.2071485643585523,1
the ronettes,pop,0.19734543810288113,1
eric morris,reggae,0.18821540971597037,1
999,rock,0.18019659817218783,1
tord gustavsen trio,jazz,0.18008686353762945,1
radioinactive,hip hop,0.17150394370158514,1
"johnny ""hammond"" smith",jazz,0.17149585982163748,1
d.ace,hip hop,0.16703540831804278,1
dj drama,hip hop,0.16507350901762646,1
jacuzzi boys,rock,0.15703708926836651,1
algorythmik,jazz,0.15623525778452557,1
"tito ""el bambino""",pop,0.15584586560726169,1
the congos,reggae,0.15467256638738844,3
angel witch,rock,0.15392843385537466,1
haircut 100,pop,0.1478378822406133,1
robert john,pop,0.13900698224703473,1
rupaul,pop,0.13864498337109885,1
cab calloway,jazz,0.13698162883520126,2
"orlando ""cachaíto"" lópez",jazz,0.13667400677998862,1
x-ray spex,rock,0.1337594638268153,1
slim gaillard,blues,0.1331218928098679,1
maynard ferguson,jazz,0.13307113200426102,2
the jompson brothers,rock,0.12863396108150485,1
alpha blondy,reggae,0.12651543402009544,3
potatohead people,jazz,0.12639506161212924,1
gwar,rock,0.12530762453873953,1
tommy james,pop,0.12379585206508638,1
san holo,pop,0.12144757807254793,1
julia michaels,pop,0.12015343705813092,1
gypsy swing revue,jazz,0.11968273421128592,1
hidden spheres,jazz,0.11920865376790366,1
klaatu,rock,0.1180994858344396,1
revolver cannabis,pop,0.11659225821495058,1
kamasi washington,jazz,0.11600345124801002,3
the flying lizards,rock,0.11493589480717978,1
ian gomm,rock,0.11172665655612947,1
prince royce,pop,0.11085473994414013,1
eddie calvert,jazz,0.11077295740445456,1
the rippingtons,jazz,0.1106073061625163,1
frankie lymon,pop,0.1103393038113912,2
riley richard,jazz,0.11010555922985078,1
fleet foxes,pop,0.10989944015940031,2
supergrass,rock,0.10833982129891714,1
lead belly,blues,0.10510004394584233,3
visage,pop,0.10491024454434714,1
