artist_name,genre,LQS_mean,n
cab calloway,blues,0.25,1
j. roddy walston & the business,blues,0.25,1
wire,blues,0.25,1
jerry vale,jazz,0.24211580306291583,1
sister rosetta tharpe,blues,0.24137681722640994,1
jerry garcia,blues,0.23239296923081082,1
bee gees,rock,0.2306272809704145,1
blind boy fuller,blues,0.23033124456803006,1
steve goodman,country,0.23001928875843686,1
al green,blues,0.20797698199748996,1
professor longhair,blues,0.19820199410120648,1
the clash,rock,0.19750239700078967,1
kid loco,jazz,0.19616326689720157,1
meghan trainor,pop,0.19176156322161358,1
gary numan,pop,0.18881836036841076,1
frank zappa,jazz,0.18166146924098336,2
shelley fabares,pop,0.18143993864456814,1
the sound,pop,0.17722815026839575,1
delicatessen,jazz,0.17711339890956881,1
vance joy,rock,0.1760238880912463,1
tony bennett,jazz,0.1712488854924838,1
perry como,pop,0.16874715437491736,1
t. rex,blues,0.1671594356497129,1
they might be giants,pop,0.16691725452740988,1
x ambassadors,pop,0.1535500188668569,1
brothers osborne,country,0.15119173626104992,1
jackie wilson,pop,0.15080954631169638,1
john prine,country,0.14910477896531424,1
bob marley & the wailers,reggae,0.1474635402361552,1
richie spice,reggae,0.13846964637438458,1
roberta flack,jazz,0.13593257466952008,1
mgmt,pop,0.13523991902669272,1
duke ellington,jazz,0.13360079129536948,1
system of a down,rock,0.1331147650877635,1
young the giant,pop,0.132344921429952,1
pete townshend,rock,0.13029516736666363,1
xtc,pop,0.1300065318743388,1
martha reeves & the vandellas,pop,0.12884401778380078,1
the wood brothers,blues,0.12727793057759604,1
llorca,jazz,0.12725239992141726,1
the doobie brothers,country,0.1271215428908666,1
marty robbins,country,0.12666415174802145,1
fall out boy,pop,0.12659061451752981,1
cream,blues,0.1257872929175695,1
giant panda guerilla dub squad,reggae,0.12501764794190726,2
popcaan,reggae,0.12379274765650433,1
upchurch,country,0.12170941630999249,1
prong,rock,0.12053845822811128,1
gang of four,pop,0.11914390822251639,1
a day to remember,pop,0.11745642622311911,1
the abyssinians,reggae,0.11709060271581015,2
sumo,reggae,0.11222378412882489,1
"clarence ""gatemouth"" brown",blues,0.10734814902146658,1
dua lipa,pop,0.10709830621878308,1
the cars,pop,0.10680090387662253,1
wire,pop,0.10620068510373434,1
bo carter,blues,0.10576092700163525,1
toni braxton,pop,0.102573295434316,1
hours eastly,reggae,0.10050203402837117,1
proleter,jazz,0.09789850314458211,1
