artist_name,genre,track_name,coherence_prime,diversity,novelty,LQS
sublime,reggae,get out!,0.0,0.0,0.0,0.0
between the buried and me,jazz,obfuscation,0.0,0.0,0.27460598945617676,0.06865149736404419
faces,pop,sweet lady mary,0.0,0.0,0.0,0.0
johnny cash,country,the rebel,0.0,0.0,0.627659300963084,0.156914825240771
the neighbourhood,rock,female robbery,0.0,0.0,0.022332410017649323,0.005583102504412331
akon,pop,i wanna love you,0.0,0.0,0.010653972625732413,0.0026634931564331033
the wailers,reggae,no sympathy,0.0,0.0,0.11253370841344197,0.028133427103360493
tim mcgraw,country,all we ever find,0.0,0.0,0.0,0.0
box car racer,pop,i feel so,0.0,0.0,0.39067620038986206,0.09766905009746552
travis scott,pop,stop trying to be god,0.0,0.0,0.329478124777476,0.082369531194369
toby keith,country,a woman's touch,0.0,0.0,0.011329690615336091,0.0028324226538340228
john michael montgomery,country,friends,0.0,0.0,0.0,0.0
israel vibration,reggae,saviour in your life,0.0,0.0,0.0,0.0
big daddy kane,hip hop,ain't no stoppin us now,0.0,0.0,0.0,0.0
ella fitzgerald,blues,taking a chance on love,0.0,0.0,0.10080788532892862,0.025201971332232155
george strait,country,six pack to go,0.0,0.0,0.4566344022750855,0.11415860056877138
michael franti & spearhead,reggae,nobody cries alone,0.0,0.0,0.01710746685663858,0.004276866714159645
breakestra,jazz,hiding,0.0,0.0,0.035443047682444245,0.008860761920611061
whitney houston,pop,one moment in time,0.0,0.0,0.0,0.0
willie nelson,country,hero,0.0,0.0,0.2291617194811503,0.057290429870287575
j. roddy walston & the business,blues,blade of truth,0.0,0.0,1.0,0.25
john mayer,pop,the heart of life,0.0,0.0,0.0,0.0
shovels & rope,blues,the air that i breathe,0.0,0.0,0.271572212378184,0.067893053094546
uncle kracker,country,rescue,0.0,0.0,0.0,0.0
mike zito,blues,gone to texas,0.0,0.0,0.02618356545766194,0.006545891364415485
whitney houston,pop,greatest love of all,0.0,0.0,0.09392285346984863,0.023480713367462158
johnny cash,country,seasons of my heart,0.0,0.0,0.0439846913019816,0.0109961728254954
george benson,jazz,stephanie,0.0,0.0,0.0,0.0
dolly parton,country,when i'm gone,0.0,0.0,0.11715376377105713,0.029288440942764282
nina simone,blues,tomorrow is my turn,0.0,0.0,0.10007335742314656,0.02501833935578664
loretta lynn,country,if i could hear my mother pray again,0.0,0.0,0.20779603719711304,0.05194900929927826
gang of four,pop,guns before butter,0.0,0.0,0.47657563289006555,0.11914390822251639
albert collins,blues,get to gettin',0.0,0.0,0.29929840564727783,0.07482460141181946
kid loco,jazz,relaxin' with cherry,0.0,0.0,0.7846530675888063,0.19616326689720157
foo fighters,rock,up in arms,0.0,0.0,0.018886367479960114,0.004721591869990029
phosphorescent,country,ride on / right on,0.0,0.0,0.10682020584742227,0.026705051461855568
the abyssinians,reggae,y mas gan,0.0,0.0,0.7458602786064149,0.18646506965160373
between the buried and me,jazz,white walls,0.0,0.0,0.0425049066543579,0.010626226663589476
the oh hellos,pop,hello my old heart,0.0,0.0,0.0,0.0
milky chance,pop,down by the river,0.0,0.0,0.0587245225906372,0.0146811306476593
styles p,hip hop,rude boy hip hop (feat. raheem devaughn),0.0,0.0,0.0,0.0
mindless self indulgence,rock,shut me up,0.0,0.0,0.3171111543973287,0.07927778859933217
black label society,rock,the blessed hellride,0.0,0.0,0.3902921477953593,0.09757303694883983
guy clark,country,the last gunfighter ballad,0.0,0.0,0.0,0.0
they might be giants,pop,mickey mouse clubhouse theme,0.0,0.0,0.6676690181096395,0.16691725452740988
staind,rock,all i want,0.0,0.0,0.041591167449951165,0.010397791862487791
breaking benjamin,pop,what lies beneath,0.0,0.0,0.0,0.0
